om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,date_tim,hour,year,length,width,cas,area_pth,ma,ed,id,total_pp,total_ml,ml_und18,ml18t44,ml45t64,ml_ovr65,totl_fml,fml_un18,fml1844,fml4564,fml_ov65,white,black,ttl_hsn_u,mobl_hms,mdn_incm,pop_d,pop_under18,pop18to44,pop45to64,PopOver65
307,1995,5,"09",1995/05/09,17:04:00,3,IL,17,11,1,2,0,6,0,40.47,-89.7,40.52,-89.63,4,220,0,1995/05/09 22:04:00+00,17,1995,6437.36,157.996977734338,2,1017083.42458792,May,49999620230.8071,33,104.137272500897,57.4023241584486,11.9470236376464,27.8179639685702,12.5544926279787,4.83464013703377,46.7349483424487,11.9717685161867,19.1736912555307,10.5233225949277,5.31436976302312,92.3539899682898,10.3052550511552,32.8877903564083,0.385636343554319,52311.663106557,102.388132559617,23.9187921538331,46.9916552241009,23.0778152229064,10.1490099000569
314,1995,5,"09",1995/05/09,18:40:00,3,AL,1,16,0,1,0,4,0,33.63,-86.08,33.6301,-86.0799,1,200,0,1995/05/09 23:40:00+00,18,1995,1609.34,143.633616122125,1,231155.323769981,May,8890337273.6894,34,0.511852293829367,0.249336953221596,0.064618907283859,0.096995164657148,0.060574406531346,0.027016642137412,0.262515340607771,0.066903526960905,0.098094614922826,0.064659358130497,0.032989673205373,0.3755428430951,0.129589649921629,0.24520614170643,0.113593818825,45163.153,2.21432189179732,0.131522434244764,0.195089779579974,0.125233764661843,0.060006315342785
324,1995,5,"10",1995/05/10,16:00:00,3,TN,47,11,0,1,0,5,0,35.2,-85.53,35.2001,-85.5299,1,20,0,1995/05/10 21:00:00+00,16,1995,1609.34,14.3633616122125,1,23115.5323769981,May,889033727.36894,35,0.007273806367952,0.003589655750352,0.000911025151935,0.001438739416451,0.0008466948653,0.000365562308778,0.003684150617601,0.00089780133836,0.001460589019366,0.000896623354918,0.000456770912844,0.007164872060636,5.4870045994e-05,0.002998862152248,0.000749754846093,40053.527,0.314671808086499,0.001808826490295,0.002899328435817,0.001743318220218,0.000822333221622
327,1995,5,"10",1995/05/10,20:50:00,3,TX,48,78,2,22,0,5,0,29.38,-100.93,29.3801,-100.9299,0.5,200,0,1995/05/11 01:50:00+00,20,1995,804.67,143.633616122125,22,115577.661884991,May,7619872788.81412,36,12.1403553554238,5.80334645380239,2.05945164123378,2.24815500191347,1.02441640672935,0.513378884595769,6.33700890162144,2.15616447151346,2.44563298828199,1.14700294895901,0.546153012197002,8.69584608541198,0.182586697095437,4.11283114070801,0.372963919601501,34107.116,105.04067271671,4.21561611274724,4.69378799019546,2.17141935568836,1.05953189679277
336,1995,5,"12",1995/05/12,12:00:00,3,LA,22,39,1,1,0,0,0,29.7,-91.2,29.7001,-91.1999,0.5,23,0,1995/05/12 17:00:00+00,12,1995,804.67,16.5178658540444,1,13291.4311167739,May,653404128.016229,37,0.283946274131688,0.138548598844547,0.038917781406846,0.053864552756559,0.02985271624941,0.016799915060833,0.145397675287142,0.040207029934583,0.058134959804241,0.028039938080506,0.018129380838711,0.163889728790136,0.112643786133951,0.131941362960585,0.018250184889104,33699.3125,21.363107677197,0.079124811341429,0.1119995125608,0.057892654329916,0.034929295899544
338,1995,5,"12",1995/05/12,14:15:00,3,KS,20,5,2,1,0,6,0,39.42,-101.05,39.37,-100.7,18,1500,0,1995/05/12 19:15:00+00,14,1995,28968.12,1077.25212091594,1,31205968.7089475,May,2057365652979.81,38,251.115990219309,120.884616087518,33.1856280170746,48.2240184779163,23.6943274057157,16.3381373678512,130.231374131792,32.9544854054202,52.3840241200184,23.8275641096961,20.5078053156168,245.905362530767,0.724325278248723,107.431597476708,7.80794608554823,47992.1842644152,8.04704999102651,66.1401134224948,100.608042597935,47.5218915154118,36.8459426834679
350,1995,5,"13",1995/05/13,14:20:00,3,MO,29,6,2,3,0,6,0,40.47,-92.02,40.5,-91.82,8,200,0,1995/05/13 19:20:00+00,14,1995,12874.72,143.633616122125,3,1849242.59015985,May,121917964621.026,39,6.97849525705559,3.60940547101975,1.01686369657826,1.18746985370281,0.831231145150206,0.482080638430516,3.36908978603584,0.962924202444954,1.16094721419894,0.798839287601496,0.538139218948413,6.94077512404569,0.000865436057587,3.20904350183849,0.521666488312766,38359.8883602396,3.77370459353976,1.97978789902321,2.34841706790175,1.6300704327517,1.02021985737893
9999,1995,5,"13",1995/05/13,15:18:00,3,IL,17,0,4,7,0,7,0,40.58,-91.31,40.74,-90.44,50,1000,0,1995/05/13 20:18:00+00,15,1995,80467,718.168080610627,7,57788830.9424953,May,5663295823927.63,40,399.359226739629,192.887224936394,48.6279221722268,65.4885171357823,46.1357874158872,34.0468132306561,206.472001803235,49.6841078468422,65.8132632014484,47.6631653469655,41.8996503898204,395.26131051326,0.947355633634934,174.76462305078,14.6176144523844,48092.7784471484,6.91066457352329,98.312030019069,131.301780337231,93.7989527628528,75.9464636204765
352,1995,5,"13",1995/05/13,16:18:00,3,IL,17,24,2,2,0,6,0,40.73,-90.38,40.82,-90.15,14,880,0,1995/05/13 21:18:00+00,16,1995,22530.76,631.987910937352,2,14239167.9442308,May,938768327581.9,41,187.513973620966,92.3837595777392,23.2389120681596,31.8915192169833,22.8203649034243,14.391241994799,95.1302140432264,23.0840700923122,32.8029687811787,23.5392917044414,15.7456048596671,184.967596523462,0.600482540984804,78.7982001763622,3.05340583153831,56689.8018945444,13.1688855946768,46.3229821604718,64.694487998162,46.3596566078657,30.1368468544661
353,1995,5,"13",1995/05/13,16:55:00,3,IL,17,25,4,45,0,7,0,40.37,-90.3,40.42,-90.12,7,880,0,1995/05/13 21:55:00+00,16,1995,11265.38,631.987910937352,45,7119583.97211542,May,697718045507.885,42,344.752102424311,164.642296631747,38.8447715426686,59.3720854197167,36.4034426120753,31.7231953757984,180.109805792564,39.7174648941367,58.5040800398795,38.245819753338,41.9412427866978,341.974962896792,1.46904699172945,156.180518742342,7.95634034852256,46310.4917519314,48.4230685071723,78.5622364368053,117.876165459596,74.6492623654133,73.6644381624963
